Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 28,2022-10-13 11:19:01,2022-10-13 17:05:13,0 days 05:46:12,2022-10-13,morning,346.2
Staff 28,2022-10-14 09:52:08,2022-10-14 17:16:38,0 days 07:24:30,2022-10-14,morning,444.5
Staff 28,2022-10-17 09:45:18,2022-10-17 17:16:14,0 days 07:30:56,2022-10-17,morning,450.93333333333334
Staff 28,2022-10-18 10:05:54,2022-10-18 16:55:25,0 days 06:49:31,2022-10-18,morning,409.51666666666665
Staff 28,2022-10-19 10:14:19,2022-10-19 16:26:20,0 days 06:12:01,2022-10-19,morning,372.01666666666665
Staff 28,2022-10-20 09:56:53,2022-10-20 17:06:39,0 days 07:09:46,2022-10-20,morning,429.76666666666665
Staff 28,2022-10-21 09:50:10,2022-10-21 17:17:43,0 days 07:27:33,2022-10-21,morning,447.55
Staff 28,2022-10-26 09:57:03,2022-10-26 17:35:52,0 days 07:38:49,2022-10-26,morning,458.81666666666666
Staff 28,2022-10-27 09:34:18,2022-10-27 17:05:16,0 days 07:30:58,2022-10-27,morning,450.96666666666664
Staff 28,2022-10-28 10:16:35,2022-10-28 17:23:08,0 days 07:06:33,2022-10-28,morning,426.55
Staff 28,2022-10-31 09:51:24,2022-10-31 17:59:37,0 days 08:08:13,2022-10-31,morning,488.21666666666664
Staff 29,2022-10-03 09:45:30,2022-10-03 17:25:56,0 days 07:40:26,2022-10-03,morning,460.43333333333334
Staff 29,2022-10-04 10:01:14,2022-10-04 17:37:10,0 days 07:35:56,2022-10-04,morning,455.93333333333334
Staff 29,2022-10-05 10:04:27,2022-10-05 17:59:31,0 days 07:55:04,2022-10-05,morning,475.06666666666666
Staff 29,2022-10-06 09:22:00,2022-10-06 17:59:11,0 days 08:37:11,2022-10-06,morning,517.1833333333333
Staff 29,2022-10-07 09:46:01,2022-10-07 17:54:39,0 days 08:08:38,2022-10-07,morning,488.6333333333333
Staff 29,2022-10-08 10:01:27,2022-10-08 10:54:57,0 days 00:53:30,2022-10-08,morning,53.5
Staff 29,2022-10-10 10:02:34,2022-10-10 17:11:11,0 days 07:08:37,2022-10-10,morning,428.6166666666667
Staff 29,2022-10-11 09:08:32,2022-10-11 17:45:59,0 days 08:37:27,2022-10-11,morning,517.45
Staff 29,2022-10-12 10:13:10,2022-10-12 17:23:15,0 days 07:10:05,2022-10-12,morning,430.0833333333333
Staff 29,2022-10-13 10:26:16,2022-10-13 17:17:15,0 days 06:50:59,2022-10-13,morning,410.98333333333335
Staff 29,2022-10-14 09:56:05,2022-10-14 17:16:38,0 days 07:20:33,2022-10-14,morning,440.55
Staff 29,2022-10-17 09:45:45,2022-10-17 17:40:54,0 days 07:55:09,2022-10-17,morning,475.15
Staff 29,2022-10-18 09:41:38,2022-10-18 16:55:51,0 days 07:14:13,2022-10-18,morning,434.21666666666664
Staff 29,2022-10-19 10:04:07,2022-10-19 17:20:24,0 days 07:16:17,2022-10-19,morning,436.28333333333336
Staff 29,2022-10-20 09:56:11,2022-10-20 17:32:05,0 days 07:35:54,2022-10-20,morning,455.9
Staff 29,2022-10-21 09:54:57,2022-10-21 17:09:47,0 days 07:14:50,2022-10-21,morning,434.8333333333333
Staff 29,2022-10-24 10:02:29,2022-10-24 17:35:29,0 days 07:33:00,2022-10-24,morning,453.0
Staff 29,2022-10-25 09:12:16,2022-10-25 17:46:03,0 days 08:33:47,2022-10-25,morning,513.7833333333333
Staff 29,2022-10-26 10:11:40,2022-10-26 17:33:40,0 days 07:22:00,2022-10-26,morning,442.0
Staff 29,2022-10-27 09:34:21,2022-10-27 17:58:05,0 days 08:23:44,2022-10-27,morning,503.73333333333335
Staff 29,2022-10-28 10:19:58,2022-10-28 17:19:45,0 days 06:59:47,2022-10-28,morning,419.78333333333336
Staff 29,2022-10-29 12:09:03,2022-10-29 17:06:11,0 days 04:57:08,2022-10-29,morning,297.1333333333333
Staff 29,2022-10-31 10:31:39,2022-10-31 15:32:31,0 days 05:00:52,2022-10-31,morning,300.8666666666667
Staff 3,2022-10-01 09:02:56,2022-10-01 10:17:18,0 days 01:14:22,2022-10-01,morning,74.36666666666666
Staff 3,2022-10-03 10:05:05,2022-10-03 17:53:26,0 days 07:48:21,2022-10-03,morning,468.35
Staff 3,2022-10-04 09:04:28,2022-10-04 17:39:27,0 days 08:34:59,2022-10-04,morning,514.9833333333333
