Technician,Location,from,to
Staff 10,"20.088,14.151","9/27/2022, 8:23:07 PM","9/27/2022, 8:33:34 PM"
Staff 10,"21.068,14.343","9/27/2022, 8:33:34 PM","9/27/2022, 8:35:51 PM"
Staff 10,"20.043,14.205","9/27/2022, 8:35:51 PM","9/27/2022, 8:38:18 PM"
Staff 10,"21.063,14.41","9/27/2022, 8:38:18 PM","9/27/2022, 8:39:34 PM"
Staff 10,"20.042,14.178","9/27/2022, 8:39:34 PM","9/27/2022, 8:54:26 PM"
Staff 10,"21.043,14.333","9/27/2022, 8:54:26 PM","9/27/2022, 8:56:20 PM"
Staff 10,"19.995,14.268","9/27/2022, 8:56:20 PM","9/27/2022, 8:58:14 PM"
Staff 10,"21.057,14.297","9/27/2022, 8:58:14 PM","9/27/2022, 8:58:31 PM"
Staff 10,"20.039,14.299","9/27/2022, 8:58:31 PM","9/27/2022, 9:07:48 PM"
Staff 10,"21.249,14.416","9/27/2022, 9:07:48 PM","9/27/2022, 9:08:00 PM"
Staff 10,"20.219,14.309","9/27/2022, 9:08:00 PM","9/28/2022, 9:28:03 AM"
Staff 10,"20.68,15.318","9/28/2022, 9:28:03 AM","9/28/2022, 9:28:15 AM"
Staff 10,"20.18,14.327","9/28/2022, 9:28:15 AM","9/28/2022, 9:28:27 AM"
Staff 10,"20.609,15.34","9/28/2022, 9:28:27 AM","9/28/2022, 9:28:33 AM"
Staff 10,"20.518,14.211","9/28/2022, 9:28:33 AM","9/28/2022, 10:12:20 AM"
Staff 10,"20.232,14.852","9/28/2022, 10:12:20 AM","9/28/2022, 10:19:59 AM"
Staff 10,"20.003,13.817","9/28/2022, 10:19:59 AM","9/28/2022, 10:23:57 AM"
Staff 10,"20.805,14.439","9/28/2022, 10:23:57 AM","9/28/2022, 10:31:09 AM"
Staff 10,"20.43,13.502","9/28/2022, 10:31:09 AM","9/28/2022, 1:07:32 PM"
Staff 10,"20.77,14.502","9/28/2022, 1:07:32 PM","9/28/2022, 1:10:26 PM"
Staff 10,"20.529,13.469","9/28/2022, 1:10:26 PM","9/29/2022, 10:18:56 AM"
Staff 10,"21.356,14.045","9/29/2022, 10:18:56 AM","9/29/2022, 10:20:18 AM"
Staff 10,"20.865,12.915","9/29/2022, 10:20:18 AM","9/29/2022, 10:20:26 AM"
